gene,edge,net
K01988,2723,ko01100
K00719,2724,ko01100
K03877,2725,ko01100
K00780,2726,ko01100
K00722,2727,ko01100
K00718,2728,ko01100
K03370,2729,ko01100
K00725,2730,ko01100
K00715,2731,ko01100
K00780,2732,ko01100
K03369,2733,ko01100
K03371,2734,ko01100
K00725,2735,ko01100
K00715,2736,ko01100
K00780,2737,ko01100
K03369,2738,ko01100
K03369,2739,ko01100
K00725,2740,ko01100
K00715,2741,ko01100
"NA",2742,ko01100
"NA",2743,ko01100
K00725,2744,ko01100
K00715,2745,ko01100
K00780,2746,ko01100
K03369,2747,ko01100
K03376,2748,ko01100
K03376,2749,ko01100
K03373,2750,ko01100
K07432,1497,ko01100
K03842,1498,ko01100
K03843,1500,ko01100
K03843,2756,ko01100
K03844,1501,ko01100
K01001,2757,ko01100
K00721,1429,ko01100
K05306,2472,ko01100
K00132,3002,ko01100
K08689,2762,ko01100
K08690,2763,ko01100
K00462,2764,ko01100
K10222,2765,ko01100
K02554,2767,ko01100
K01666,2768,ko01100
K15757,2770,ko01100
K00055,2771,ko01100
K00141,2772,ko01100
K05549,2773,ko01100
K05783,2774,ko01100
K15757,2775,ko01100
K00055,2776,ko01100
K00141,2777,ko01100
K05549,2778,ko01100
K05783,2779,ko01100
K16249,176,ko01100
K16249,2780,ko01100
K00446,2781,ko01100
K10702,4513,ko01100
K15760,2782,ko01100
K05797,2783,ko01100
K00141,2784,ko01100
"NA",2785,ko01100
K15766,2786,ko01100
K15757,2787,ko01100
K00055,2788,ko01100
K05549,2789,ko01100
K05783,2790,ko01100
K00446,2791,ko01100
K10216,2792,ko01100
K01617,2793,ko01100
K01821,2794,ko01100
K10217,2795,ko01100
K18364,2796,ko01100
K00141,2797,ko01100
K01560,2798,ko01100
"NA",1215,ko01100
K00217,2799,ko01100
K01061,2800,ko01100
K01860,2801,ko01100
K15253,2802,ko01100
K16269,2803,ko01100
K03268,2804,ko01100
"NA",2805,ko01100
K15237,2808,ko01100
"NA",1218,ko01100
K01563,2810,ko01100
K13953,2811,ko01100
K00128,2812,ko01100
K14419,2813,ko01100
K01563,2814,ko01100
K13953,2815,ko01100
K00128,2816,ko01100
K14421,1955,ko01100
"NA",2817,ko01100
"NA",2818,ko01100
"NA",2819,ko01100
"NA",2820,ko01100
K01075,2821,ko01100
K00481,2822,ko01100
"NA",2823,ko01100
K01563,1998,ko01100
K14028,2824,ko01100
K00128,2825,ko01100
K21647,2826,ko01100
K21647,2827,ko01100
"NA",2828,ko01100
K21647,6777,ko01100
"NA",2829,ko01100
"NA",2830,ko01100
K22353,2831,ko01100
K08726,2832,ko01100
"NA",1447,ko01100
"NA",2833,ko01100
K14481,2834,ko01100
K18312,1970,ko01100
K00146,2835,ko01100
"NA",2836,ko01100
"NA",2837,ko01100
K00446,2000,ko01100
K10216,2001,ko01100
K03268,2838,ko01100
K16269,2839,ko01100
K15253,2840,ko01100
K01860,2841,ko01100
"NA",2842,ko01100
K01061,2843,ko01100
K00217,2844,ko01100
K21607,2845,ko01100
K15241,2846,ko01100
K15241,2847,ko01100
K15242,2848,ko01100
K15243,2849,ko01100
K15245,2850,ko01100
K15245,2851,ko01100
"NA",2852,ko01100
K23529,3062,ko01100
K04098,1983,ko01100
K10676,3851,ko01100
K00446,3852,ko01100
"NA",3853,ko01100
K10216,2853,ko01100
K07824,2854,ko01100
K05549,4627,ko01100
K05783,4628,ko01100
K00480,4629,ko01100
"NA",2856,ko01100
K14582,2857,ko01100
K14579,2858,ko01100
K00152,4630,ko01100
K14585,4631,ko01100
K14584,4632,ko01100
K14583,4633,ko01100
K14582,4634,ko01100
K14579,4635,ko01100
K11943,4646,ko01100
K18257,4647,ko01100
K11945,4648,ko01100
"NA",4649,ko01100
K11946,4650,ko01100
K11947,4651,ko01100
K00480,4626,ko01100
K18092,1999,ko01100
K14751,2859,ko01100
"NA",2860,ko01100
K14748,2861,ko01100
K10700,2862,ko01100
K14599,2863,ko01100
K15749,2864,ko01100
K22717,47,ko01100
K14599,2865,ko01100
K15749,2866,ko01100
K22717,2867,ko01100
K01821,2869,ko01100
"NA",1217,ko01100
K14579,2870,ko01100
"NA",2871,ko01100
K14599,2872,ko01100
K14601,2873,ko01100
K14602,2874,ko01100
K14604,2875,ko01100
K18068,2876,ko01100
K18067,2877,ko01100
K04102,2878,ko01100
K15751,1981,ko01100
K15754,2879,ko01100
K04107,2880,ko01100
K04110,2761,ko01100
K04112,2881,ko01100
K07537,2882,ko01100
K07538,2883,ko01100
K07539,2884,ko01100
K07540,2885,ko01100
K07543,2886,ko01100
K07545,2887,ko01100
K07546,2888,ko01100
K07547,2889,ko01100
K07549,2890,ko01100
K03381,2891,ko01100
K01856,2892,ko01100
K03464,2893,ko01100
K01055,2894,ko01100
K01031,51,ko01100
"NA",2895,ko01100
K04098,2759,ko01100
"NA",1982,ko01100
K00217,2760,ko01100
K01857,2896,ko01100
K01607,2897,ko01100
"NA",2898,ko01100
"NA",2899,ko01100
K14519,2900,ko01100
"NA",52,ko01100
K06446,53,ko01100
K01692,54,ko01100
K00074,55,ko01100
K05394,2901,ko01100
K03382,2902,ko01100
K08710,2903,ko01100
K19837,32,ko01100
"NA",33,ko01100
K01457,1213,ko01100
"NA",2904,ko01100
"NA",2905,ko01100
"NA",2906,ko01100
K14520,2907,ko01100
